Date,Dividend,Ticker,Ticker_Yahoo
2010-12-13,0.200284,AMAR3,AMAR3.SA
2011-04-20,0.290781,AMAR3,AMAR3.SA
2011-05-23,0.275424,AMAR3,AMAR3.SA
2011-07-19,2.230956,AMAR3,AMAR3.SA
2012-04-20,0.701037,AMAR3,AMAR3.SA
2012-11-30,0.85697,AMAR3,AMAR3.SA
2013-04-19,0.475955,AMAR3,AMAR3.SA
2014-04-22,0.450617,AMAR3,AMAR3.SA
2015-04-30,0.269227,AMAR3,AMAR3.SA
2021-05-03,0.008481,AMBP3,AMBP3.SA
2022-05-05,0.027276,AMBP3,AMBP3.SA
2023-05-16,0.012068,AMBP3,AMBP3.SA
2014-05-02,0.036667,ANIM3,ANIM3.SA
2015-03-31,0.1576,ANIM3,ANIM3.SA
2016-04-26,0.0625,ANIM3,ANIM3.SA
2017-04-27,0.020633,ANIM3,ANIM3.SA
2018-04-26,0.084533,ANIM3,ANIM3.SA
2019-04-26,0.0023,ANIM3,ANIM3.SA
2024-08-14,0.47127,ANIM3,ANIM3.SA
2025-04-25,0.05354,ANIM3,ANIM3.SA
2022-05-04,0.1,AURE3,AURE3.SA
2023-05-05,1.5,AURE3,AURE3.SA
2023-12-11,1.5,AURE3,AURE3.SA
2024-03-04,0.4,AURE3,AURE3.SA
2025-04-25,0.057033,AURE3,AURE3.SA
2014-12-08,0.085152,AZEV3,AZEV3.SA
2015-05-04,0.030556,AZEV3,AZEV3.SA
2015-12-14,0.126284,AZEV3,AZEV3.SA
2008-08-26,0.024332,B3SA3,B3SA3.SA
2009-01-02,0.023102,B3SA3,B3SA3.SA
2009-05-04,0.020682,B3SA3,B3SA3.SA
2009-05-18,0.018644,B3SA3,B3SA3.SA
2009-08-17,0.025594,B3SA3,B3SA3.SA
2009-11-13,0.024963,B3SA3,B3SA3.SA
2009-12-23,0.002827,B3SA3,B3SA3.SA
2010-03-01,0.004236,B3SA3,B3SA3.SA
2010-03-31,0.008469,B3SA3,B3SA3.SA
2010-05-03,0.041201,B3SA3,B3SA3.SA
2010-05-13,0.019332,B3SA3,B3SA3.SA
2010-08-24,0.039339,B3SA3,B3SA3.SA
2010-11-12,0.0397,B3SA3,B3SA3.SA
2010-12-22,0.004578,B3SA3,B3SA3.SA
2011-02-22,0.007212,B3SA3,B3SA3.SA
2011-05-03,0.068908,B3SA3,B3SA3.SA
2011-06-22,0.028394,B3SA3,B3SA3.SA
2011-08-29,0.04058,B3SA3,B3SA3.SA
2011-11-18,0.04038,B3SA3,B3SA3.SA
2012-03-30,0.03914,B3SA3,B3SA3.SA
2012-05-15,0.03872,B3SA3,B3SA3.SA
2012-08-10,0.041459,B3SA3,B3SA3.SA
2012-11-22,0.038179,B3SA3,B3SA3.SA
2013-04-18,0.067079,B3SA3,B3SA3.SA
2013-05-22,0.036836,B3SA3,B3SA3.SA
2013-08-22,0.048981,B3SA3,B3SA3.SA
2013-11-12,0.039447,B3SA3,B3SA3.SA
2014-05-20,0.037179,B3SA3,B3SA3.SA
2014-06-13,0.026158,B3SA3,B3SA3.SA
2014-08-12,0.03646,B3SA3,B3SA3.SA
2014-11-18,0.034938,B3SA3,B3SA3.SA
2015-04-16,0.034388,B3SA3,B3SA3.SA
2015-05-19,0.04137,B3SA3,B3SA3.SA
2015-08-24,0.047583,B3SA3,B3SA3.SA
2015-11-24,0.058852,B3SA3,B3SA3.SA
2015-12-14,0.084171,B3SA3,B3SA3.SA
2016-05-24,0.031658,B3SA3,B3SA3.SA
2016-08-23,0.040206,B3SA3,B3SA3.SA
2016-11-22,0.027363,B3SA3,B3SA3.SA
2016-12-22,0.06863,B3SA3,B3SA3.SA
2017-05-23,0.022958,B3SA3,B3SA3.SA
2017-08-22,0.013341,B3SA3,B3SA3.SA
2017-11-22,0.027486,B3SA3,B3SA3.SA
2017-12-22,0.087127,B3SA3,B3SA3.SA
2018-04-24,0.032643,B3SA3,B3SA3.SA
2018-06-28,0.073716,B3SA3,B3SA3.SA
2018-09-24,0.058709,B3SA3,B3SA3.SA
2018-12-26,0.068975,B3SA3,B3SA3.SA
2019-03-27,0.064317,B3SA3,B3SA3.SA
2019-06-26,0.06349,B3SA3,B3SA3.SA
2019-07-05,0.034401,B3SA3,B3SA3.SA
2019-09-25,0.10587,B3SA3,B3SA3.SA
2020-01-02,0.117948,B3SA3,B3SA3.SA
2020-03-26,0.209965,B3SA3,B3SA3.SA
2020-07-01,0.048932,B3SA3,B3SA3.SA
2020-09-25,0.265538,B3SA3,B3SA3.SA
2021-01-04,0.1858,B3SA3,B3SA3.SA
2021-03-25,0.326287,B3SA3,B3SA3.SA
2021-03-29,0.038161,B3SA3,B3SA3.SA
2021-06-30,0.214651,B3SA3,B3SA3.SA
2021-12-21,0.149451,B3SA3,B3SA3.SA
2022-01-03,0.049777,B3SA3,B3SA3.SA
2022-03-25,0.181475,B3SA3,B3SA3.SA
2022-06-29,0.130776,B3SA3,B3SA3.SA
2022-09-23,0.082875,B3SA3,B3SA3.SA
2022-12-23,0.024203,B3SA3,B3SA3.SA
2023-01-02,0.063981,B3SA3,B3SA3.SA
2023-02-24,0.036728,B3SA3,B3SA3.SA
2023-03-29,0.06023,B3SA3,B3SA3.SA
2023-06-28,0.115354,B3SA3,B3SA3.SA
2023-09-22,0.10571,B3SA3,B3SA3.SA
2024-01-02,0.100519,B3SA3,B3SA3.SA
2024-02-28,0.0669,B3SA3,B3SA3.SA
